id	title	imdbID	spanishTitle	imdbPictureURL	year	rtID	rtAllCriticsRating	rtAllCriticsNumReviews	rtAllCriticsNumFresh	rtAllCriticsNumRotten	rtAllCriticsScore	rtTopCriticsRating	rtTopCriticsNumReviews	rtTopCriticsNumFresh	rtTopCriticsNumRotten	rtTopCriticsScore	rtAudienceRating	rtAudienceNumRatings	rtAudienceScore	rtPictureURL
34	Babe	0112431	Babe, el cerdito valiente	http://ia.media-imdb.com/images/M/MV5BMTIwNzY2OTIzN15BMl5BanBnXkFtZTcwNjcxODAzMQ@@._V1._SY314_CR6,0,214,314_.jpg	1995	1065598-babe	8.2	54	53	1	98	8.2	11	11	0	100	3	22954	54	http://content7.flixster.com/movie/25/32/253205_det.jpg
35	Carrington	0112637	Carrington	http://ia.media-imdb.com/images/M/MV5BMTI5NjcxMjc4MV5BMl5BanBnXkFtZTcwOTEzMDYxMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995	carrington	6.2	19	9	10	47	7.4	5	4	1	80	3.5	781	68	http://content7.flixster.com/movie/28/00/280009_det.jpg
36	Dead Man Walking	0112818	Pena de muerte (Dead Man Walking)	http://ia.media-imdb.com/images/M/MV5BOTUxMDg5NTAzMF5BMl5BanBnXkFtZTcwNTYyOTYyMQ@@._V1._SY314_CR4,0,214,314_.jpg	1995	1068779-dead_man_walking	8.2	53	50	3	94	7.9	20	18	2	90	3.6	15450	81	http://content6.flixster.com/movie/10/88/77/10887764_det.jpg
37	Across the Sea of Time	0112286	Across the Sea of Time	http://ia.media-imdb.com/images/M/MV5BNTQyMTE3MzY4Nl5BMl5BanBnXkFtZTcwMzY5MTAyMQ@@._V1._SX78_SY140_.jpg	1995	across_the_sea_of_time	0	4	2	2	50	0	1	0	1	0	2.9	237	27	http://content6.flixster.com/movie/10/90/58/10905808_det.jpg
38	It Takes Two	0113442	Dos por el precio de una	http://ia.media-imdb.com/images/M/MV5BMTcyMjY3NzkwMV5BMl5BanBnXkFtZTcwNzE1NjUyMQ@@._V1._SY314_CR3,0,214,314_.jpg	1995	1067137-it_takes_two	3.9	24	2	22	8	4.6	8	2	6	25	2.9	16311	63	http://content7.flixster.com/movie/25/74/257417_det.jpg
39	Clueless	0112697	Clueless: fuera de onda	http://ia.media-imdb.com/images/M/MV5BNjQxNTA1NjE5Ml5BMl5BanBnXkFtZTYwOTMwNzE5._V1._SY314_CR3,0,214,314_.jpg	1995	school_of_senses	0	0	0	0	0	0	0	0	0	0	0	0	0	http://content8.flixster.com/movie/10/85/01/10850110_det.jpg
40	Cry, the Beloved Country	0112749	Llanto por la tierra amada	http://ia.media-imdb.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1._SY314_CR3,0,214,314_.jpg	1995	1068781-cry_the_beloved_country	7.2	13	10	3	76	0	4	3	1	75	3.5	520	66	http://content6.flixster.com/movie/10/89/59/10895996_det.jpg
41	Richard III	0114279	Ricardo III (Richard III)	http://ia.media-imdb.com/images/M/MV5BMjEzMjAxOTQzMV5BMl5BanBnXkFtZTcwMTYyNjIyMQ@@._V1._SY314_CR0,0,214,314_.jpg	1995	1068177-richard_iii	8.1	43	41	2	95	7.6	11	10	1	90	3.7	1552	82	http://content7.flixster.com/movie/26/89/268909_det.jpg
42	Dead Presidents	0112819	Dinero para quemar	http://ia.media-imdb.com/images/M/MV5BMzE0NTI0MTM5MV5BMl5BanBnXkFtZTcwMzYwMTYyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995	dead_presidents	5.7	31	14	17	45	6.3	12	7	5	58	3.3	4475	75	http://content7.flixster.com/movie/26/95/269521_det.jpg
43	Restoration	0114272	Restauración	http://ia.media-imdb.com/images/M/MV5BMTI5MDM4OTQ0Ml5BMl5BanBnXkFtZTcwMzU2MTYyMQ@@._V1._SY314_CR1,0,214,314_.jpg	1995	1069339-restoration	6.3	31	21	10	67	6.4	10	6	4	60	3.3	1103	56	http://content6.flixster.com/movie/27/04/270404_det.jpg
44	Mortal Kombat	0113855	Mortal Kombat	http://ia.media-imdb.com/images/M/MV5BMTI3MzM0ODE4Nl5BMl5BanBnXkFtZTcwMDA3MTgyMQ@@._V1._SY314_CR18,0,214,314_.jpg	1995	mortal_kombat	4.4	26	9	17	34	3.9	6	2	4	33	2.8	18291	55	http://content9.flixster.com/movie/25/63/256395_det.jpg
45	Live Free or Die Hard	0337978	La jungla 4.0	http://ia.media-imdb.com/images/M/MV5BNDQxMDE1OTg4NV5BMl5BanBnXkFtZTcwMTMzOTQzMw@@._V1._SX214_CR0,0,214,314_.jpg	2007	live_free_or_die_hard	6.8	197	161	36	81	6.7	38	30	8	78	3.9	1145097	86	http://content8.flixster.com/movie/10/93/34/10933482_det.jpg
46	How to Make an American Quilt	0113347	Donde reside el amor	http://ia.media-imdb.com/images/M/MV5BNzY3NTQ0NTM0NV5BMl5BanBnXkFtZTcwODkwMzgxMQ@@._V1._SY314_CR3,0,214,314_.jpg	1995	how_to_make_an_american_quilt	5.6	22	11	11	50	7.6	6	5	1	83	3.2	2626	58	http://content8.flixster.com/movie/10/86/75/10867514_det.jpg
47	Shichinin no samurai	0047478	Los siete samuráis	http://ia.media-imdb.com/images/M/MV5BNzg5Mzk5Nzc0NF5BMl5BanBnXkFtZTcwNjg3MDQzMQ@@._V1._SY314_CR4,0,214,314_.jpg	1954	1018639-seven_samurai	9.2	49	49	0	100	8.6	10	10	0	100	4.5	29509	97	http://content7.flixster.com/movie/39/91/08/3991085_det.jpg
48	Pocahontas	0114148	Pocahontas	http://ia.media-imdb.com/images/M/MV5BMTM5NDI5MzAwOV5BMl5BanBnXkFtZTcwODcwMjgyMQ@@._V1._SY314_CR5,0,214,314_.jpg	1995	1063452-pocahontas	6	49	27	22	55	6.6	14	10	4	71	3.2	37858	63	http://content6.flixster.com/movie/25/15/251508_det.jpg
49	When Night Is Falling	0114916	Cuando cae la noche	http://ia.media-imdb.com/images/M/MV5BMTI2OTU5MDMzN15BMl5BanBnXkFtZTcwMTkxNTEzMQ@@._V1._SY314_CR2,0,214,314_.jpg	1995	when_night_is_falling	5.7	16	8	8	50	0	4	1	3	25	3.9	1132	83	http://content6.flixster.com/movie/10/89/77/10897780_det.jpg
50	The Usual Suspects	0114814	Sospechosos habituales	http://ia.media-imdb.com/images/M/MV5BMTg0NzIyMTA3M15BMl5BanBnXkFtZTcwMDQ3MjI3Mw@@._V1._SX214_CR0,0,214,314_.jpg	1995	usual_suspects	7.5	47	41	6	87	6.9	14	12	2	85	4.2	109588	95	http://content7.flixster.com/movie/24/63/48/2463485_det.jpg
52	Mighty Aphrodite	0113819	Poderosa Afrodita	http://ia.media-imdb.com/images/M/MV5BMTUzMzE3Nzg5Ml5BMl5BanBnXkFtZTcwNTIxNDEyMQ@@._V1._SY314_CR3,0,214,314_.jpg	1995	mighty_aphrodite	6.7	33	25	8	75	7.2	6	4	2	66	3.3	4866	69	http://content7.flixster.com/movie/10/84/18/10841893_det.jpg
53	Lamerica	0110299	Lamerica	http://ia.media-imdb.com/images/M/MV5BMTk0MTI5MjU3MF5BMl5BanBnXkFtZTcwMjMzODUyMQ@@._V1._SY314_CR3,0,214,314_.jpg	1994	lamerica	8	10	9	1	90	0	1	1	0	100	3.9	239	82	http://content6.flixster.com/movie/29/78/297800_det.jpg
54	The Big Green	0112499	Somos los peores	http://ia.media-imdb.com/images/M/MV5BMTMwODc3MDk3Nl5BMl5BanBnXkFtZTcwMTE5NTUyMQ@@._V1._SY314_CR5,0,214,314_.jpg	1995	big_green	2.8	5	0	5	0	0	1	0	1	0	2.7	2596	47	http://content7.flixster.com/movie/25/93/259305_det.jpg
55	Georgia Rule	0791304	Georgia Rule	http://ia.media-imdb.com/images/M/MV5BMTM2MDc3MTI0Nl5BMl5BanBnXkFtZTcwMzQ4ODU0MQ@@._V1._SX214_CR0,0,214,314_.jpg	2007	georgia_rule	3.8	116	20	96	17	3.4	30	2	28	6	3	64056	55	http://content8.flixster.com/movie/63/82/23/6382238_det.jpg
56	Kids of the Round Table	0113541	Los chicos de la tabla redonda	http://ia.media-imdb.com/images/M/MV5BMTEwMTM0MzI3OTheQTJeQWpwZ15BbWU3MDQzNTQ2MTE@._V1._SX214_CR0,0,214,314_.jpg	1997	kids-of-the-round-table	0	0	0	0	0	0	0	0	0	0	0	0	0	http://content7.flixster.com/movie/10/85/20/10852069_det.jpg
57	Home for the Holidays	0113321	A casa por vacaciones	http://ia.media-imdb.com/images/M/MV5BMjExMTMyNzU4MV5BMl5BanBnXkFtZTcwMzIwMDkxMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995	1066169-home_for_the_holidays	6	44	28	16	63	5.7	11	5	6	45	3.4	3045	69	http://content6.flixster.com/movie/25/43/254392_det.jpg
58	Il postino	0110877	El cartero (y Pablo Neruda)	http://ia.media-imdb.com/images/M/MV5BMTkxNTc5NjE0NV5BMl5BanBnXkFtZTcwMTI2MTYyMQ@@._V1._SY301_CR1,0,214,301_.jpg	1994	il_postino	7.9	25	23	2	92	0	4	4	0	100	4.1	5794	92	http://content8.flixster.com/movie/10/86/74/10867406_det.jpg
59	Le confessionnal	0112714	Le confessionnal	http://ia.media-imdb.com/images/M/MV5BMTk2MDE1MTYyNl5BMl5BanBnXkFtZTcwMzc3NDEzMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995	confessional	0	1	1	0	100	0	0	0	0	0	0	0	0	http://images.rottentomatoescdn.com/images/defaults/poster_default.gif
60	The Indian in the Cupboard	0113419	La llave mágica	http://ia.media-imdb.com/images/M/MV5BMTk0NjQ5NzQxMl5BMl5BanBnXkFtZTcwMDc5NjUyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995	indian_in_the_cupboard	6.2	19	13	6	68	0	2	1	1	50	2.7	5127	41	http://content9.flixster.com/movie/25/78/257803_det.jpg
61	Eye for an Eye	0116260	Eye for an eye: ojo por ojo	http://ia.media-imdb.com/images/M/MV5BMTUwMzc5NTk0NF5BMl5BanBnXkFtZTYwOTYyMzU5._V1._SX214_CR0,0,214,314_.jpg	1996	1101753-eye	0	0	0	0	0	0	0	0	0	0	0	0	0	http://content8.flixster.com/movie/10/99/01/10990146_det.jpg
62	Mr. Holland's Opus	0113862	Profesor Holland	http://ia.media-imdb.com/images/M/MV5BMTUxODUxOTk2M15BMl5BanBnXkFtZTcwODk2NDYxMQ@@._V1._SY314_CR4,0,214,314_.jpg	1995	mr_hollands_opus	6.7	26	19	7	73	7.5	6	5	1	83	3.5	9569	79	http://content8.flixster.com/movie/10/58/42/10584210_det.jpg
63	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	0116126	Los colegas del barrio	http://ia.media-imdb.com/images/M/MV5BMTA3NjQ1Mzg4NTReQTJeQWpwZ15BbWU3MDcwNTQwMzE@._V1._SY314_CR3,0,214,314_.jpg	1996	dont_be_a_menace	4.5	24	7	17	29	5.6	7	3	4	42	0	0	0	http://content8.flixster.com/movie/28/69/286926_det.jpg
64	Two If by Sea	0118002	Corazones robados	http://ia.media-imdb.com/images/M/MV5BMTY5MDcxNjY5MV5BMl5BanBnXkFtZTYwNDMxMTk5._V1._SX214_CR0,0,214,314_.jpg	1996	two_if_by_sea	3.9	27	3	24	11	0	4	0	4	0	2.6	1608	29	http://content6.flixster.com/movie/27/80/278004_det.jpg
65	Bio-Dome	0115683	Bio-Dome	http://ia.media-imdb.com/images/M/MV5BMTc4NDg0ODQ4Ml5BMl5BanBnXkFtZTcwNDM4MDUyMQ@@._V1._SY314_CR3,0,214,314_.jpg	1996	biodome	1.9	21	1	20	4	2	7	0	7	0	2.6	8972	51	http://content6.flixster.com/movie/25/94/259420_det.jpg
66	Lawnmower Man 2: Beyond Cyberspace	0116839	El cortador de césped II: más allá del ciberespacio	http://ia.media-imdb.com/images/M/MV5BMTg1MjM3OTEyNF5BMl5BanBnXkFtZTcwOTQ5MDEyMQ@@._V1._SY314_CR2,0,214,314_.jpg	1996	lawnmower_man_2_jobes_war	2.8	9	1	8	11	0	3	1	2	33	2.1	952	18	http://content7.flixster.com/movie/10/86/80/10868017_det.jpg
67	Two Bits	0114753	Two Bits	http://ia.media-imdb.com/images/M/MV5BMTY4NjA1Mzc2N15BMl5BanBnXkFtZTcwODI2NjYxMQ@@._V1._SY314_CR2,0,214,314_.jpg	1995	two-bits	5	10	4	6	40	0	4	1	3	25	3.3	685	54	http://content6.flixster.com/movie/26/66/266612_det.jpg
68	Gazon maudit	0113149	Felpudo maldito	http://ia.media-imdb.com/images/M/MV5BMTU5NjI5NDQ2MV5BMl5BanBnXkFtZTcwMDkzMzcxMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995	french_twist	6.1	10	5	5	50	0	4	1	3	25	3.4	597	58	http://content7.flixster.com/movie/27/76/277609_det.jpg
69	Friday	0113118	A tope en viernes	http://ia.media-imdb.com/images/M/MV5BMTkxNjA2MjE0Nl5BMl5BanBnXkFtZTcwMjM3NzYzMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995	nothing_funny	0	0	0	0	0	0	0	0	0	0	0	0	0	http://content7.flixster.com/movie/10/88/03/10880345_det.jpg
70	From Dusk Till Dawn	0116367	Abierto hasta el amanecer	http://ia.media-imdb.com/images/M/MV5BMTI0NzM0MzE4MV5BMl5BanBnXkFtZTcwNjgwODg0MQ@@._V1._SY314_CR3,0,214,314_.jpg	1996	from_dusk_till_dawn	6	43	27	16	62	4.9	10	5	5	50	3.4	36073	75	http://content9.flixster.com/movie/62/82/01/6282011_det.jpg
71	Fair Game	0113010	Caza legal	http://ia.media-imdb.com/images/M/MV5BMTQ4NjM0MDI1OF5BMl5BanBnXkFtZTcwMDQ1ODMyMQ@@._V1._SY314_CR12,0,214,314_.jpg	1995	1065868-fair_game	2.4	24	3	21	12	3.1	8	1	7	12	2.1	1761	16	http://content8.flixster.com/movie/27/69/276994_det.jpg
72	Kicking & Screaming	0384642	Un entrenador genial	http://ia.media-imdb.com/images/M/MV5BMTA5Njk1MjEzMzZeQTJeQWpwZ15BbWU3MDY3NjY4MjE@._V1._SX214_CR0,0,214,314_.jpg	2005	kicking_and_screaming	5.1	137	57	80	41	5	31	12	19	38	3	14260	51	http://content9.flixster.com/movie/24/97/249715_det.jpg
73	Les misérables	0119683	Los miserables	http://ia.media-imdb.com/images/M/MV5BMTQ5Mzc5NDQ2Nl5BMl5BanBnXkFtZTcwNzUxNTIyMQ@@._V1._SY314_CR4,0,214,314_.jpg	1998	1083326-les_miserables	6.9	41	31	10	75	6.6	11	6	5	54	3.6	7310	81	http://content9.flixster.com/movie/25/51/255107_det.jpg
74	Bed of Roses	0115644	Mil ramos de rosas	http://ia.media-imdb.com/images/M/MV5BMjg4MzcxMzk3M15BMl5BanBnXkFtZTcwNzkzOTMyMQ@@._V1._SY314_CR9,0,214,314_.jpg	1996	bed_of_roses	5.3	14	3	11	21	5.2	5	1	4	20	3.2	3163	66	http://content9.flixster.com/movie/25/92/259203_det.jpg
75	Big Bully	0115676	Mi querido enemigo	http://ia.media-imdb.com/images/M/MV5BMTM5OTk4OTA0MV5BMl5BanBnXkFtZTcwNjg1MjQyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1996	big_bully	2.8	7	0	7	0	0	2	0	2	0	2.4	1459	23	http://content9.flixster.com/movie/26/51/265195_det.jpg
